time,f1,f2,f3,f4,f5,f6,metric
1,0.294755174,3.500023784,9.998990918,-50,1E-27,0.574456956,18.23795929
2,0.563320058,3.500056569,9.997981837,75,1.28E-25,0.789332998,23.91046985
3,0.781831482,3.500093905,9.996972755,100,2.187E-24,0.934731649,20.95786042
4,0.930873749,3.500134543,9.995963673,-50,1.6384E-23,0.997854864,26.831588
5,0.997203797,3.500177828,9.994954591,-75,7.8125E-23,0.973146514,13.99854298
6,0.974927912,3.500223345,9.99394551,-25,2.79936E-22,0.862781437,17.94398982
7,0.866025404,3.500270807,9.992936428,225,8.23543E-22,0.67647401,23.67287593
8,0.680172738,3.50032,9.991927346,200,2.09715E-21,0.430623082,23.20939184
9,0.433883739,3.500370758,9.990918264,350,4.78297E-21,0.146868547,17.59482162
10,0.149042266,3.500422949,9.989909183,0,1E-20,-0.149813413,14.38387451
11,-0.149042266,3.500476462,9.988900101,225,1.94872E-20,-0.43330874,19.63982372
12,-0.433883739,3.500531207,9.987891019,125,3.58318E-20,-0.678664067,9.928884274
13,-0.680172738,3.500587106,9.986881937,150,6.27485E-20,-0.864283123,18.31432947
14,-0.866025404,3.500644091,9.985872856,350,1.05414E-19,-0.973827651,18.85086876
15,-0.974927912,3.500702104,9.984863774,-125,1.70859E-19,-0.997655497,13.07978653
16,-0.997203797,3.500761093,9.983854692,-100,2.68435E-19,-0.933669327,18.52527378
17,-0.930873749,3.50082101,9.98284561,150,4.10339E-19,-0.787501227,22.19227866
18,-0.781831482,3.500881816,9.981836529,-100,6.1222E-19,-0.572016969,17.06606674
19,-0.563320058,3.500943473,9.980827447,325,8.93872E-19,-0.30618356,19.11353027
20,-0.294755174,3.501005947,9.979818365,25,1.28E-18,-0.013399757,22.2861299
21,-1.13321E-15,3.501069207,9.978809284,325,1.80109E-18,0.280563497,12.02420762
22,0.294755174,3.501133224,9.977800202,-50,2.49436E-18,0.549831446,11.26228761
23,0.563320058,3.501197974,9.97679112,325,3.40483E-18,0.770703022,19.93489407
24,0.781831482,3.501263431,9.975782038,225,4.58647E-18,0.923737024,15.982369
25,0.930873749,3.501329574,9.974772957,275,6.10352E-18,0.995463341,12.35617309
26,0.997203797,3.501396382,9.973763875,300,8.03181E-18,0.979568596,27.02319864
27,0.974927912,3.501463835,9.972754793,-25,1.04604E-17,0.87745185,21.96871129
28,0.866025404,3.501531916,9.971745711,375,1.34929E-17,0.698101458,26.19765926
29,0.680172738,3.501600608,9.97073663,325,1.72499E-17,0.45730391,19.23423367
30,0.433883739,3.501669895,9.969727548,300,2.187E-17,0.176254298,15.61971903
31,0.149042266,3.501739761,9.968718466,50,2.75126E-17,-0.120309285,20.40882495
32,-0.149042266,3.501810193,9.967709384,125,3.43597E-17,-0.406283198,13.16482491
33,-0.433883739,3.501881178,9.966700303,25,4.26184E-17,-0.65649591,18.95393419
34,-0.680172738,3.501952703,9.965691221,275,5.25234E-17,-0.848923602,14.83942626
35,-0.866025404,3.502024755,9.964682139,225,6.43393E-17,-0.966628715,12.87601076
36,-0.974927912,3.502097324,9.963673058,250,7.83642E-17,-0.999250801,17.60497219
37,-0.997203797,3.502170399,9.962663976,250,9.49319E-17,-0.94391845,14.05050171
38,-0.930873749,3.50224397,9.961654894,100,1.14416E-16,-0.805502038,14.71754754
39,-0.781831482,3.502318026,9.960645812,100,1.37231E-16,-0.59618503,15.59137537
40,-0.563320058,3.502392558,9.959636731,375,1.6384E-16,-0.334391589,11.63887753
41,-0.294755174,3.502467558,9.958627649,150,1.94754E-16,-0.043164872,16.81151474
42,-2.26642E-15,3.502543016,9.957618567,150,2.30539E-16,0.251861233,21.54962905
43,0.294755174,3.502618925,9.956609485,225,2.71819E-16,0.524718416,16.28774471
44,0.563320058,3.502695277,9.955600404,75,3.19278E-16,0.751389685,24.96038597
45,0.781831482,3.502772063,9.954591322,250,3.73669E-16,0.911923347,24.0078949
46,0.930873749,3.502849278,9.95358224,-25,4.35818E-16,0.992189169,20.3817322
47,0.997203797,3.502926913,9.952573158,75,5.06623E-16,0.985122123,13.54879023
48,0.974927912,3.503004962,9.951564077,250,5.87068E-16,0.891344252,14.49433467
49,0.866025404,3.503083419,9.950554995,0,6.78223E-16,0.719109921,18.22331377
50,0.680172738,3.503162278,9.949545913,-100,7.8125E-16,0.48357926,18.25991868
